Title,IF,Q,Publisher,Category,5IF,TITLE Short,Type,Issn_1,Issn_2,None,Country,Region,Coverage,Categories,Areas
npj Aging and Mechanisms of Disease,5.4,Q1,Nature Research,GERIATRICS & GERONTOLOGY,4.9,NPJ AGING MECH DIS,journal,20563973,,Aug-74,United Kingdom,Western Europe,2015-2021,Aging (Q1); Geriatrics and Gerontology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
BioDrugs,5.4,Q1,Adis International Ltd,PHARMACOLOGY & PHARMACY,5.3,BIODRUGS,journal,11738804,1179190X,32/354,United Kingdom,Western Europe,1996-2023,Biotechnology (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Stem cells translational medicine,5.4,Q1,Oxford University Press,CELL & TISSUE ENGINEERING,6.1,STEM CELL TRANSL MED,journal,21576564,21576580,31-07-2024 00:00,United States,Northern America,2012-2023,Developmental Biology (Q1); Medicine (miscellaneous) (Q1); Cell Biology (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
International Journal of Developmental Neuroscience,1.7,Q4,Wiley,NEUROSCIENCES,2,INT J DEV NEUROSCI,journal,7365748,1873474X,251/310,United Kingdom,Western Europe,1983-2023,Developmental Biology (Q3); Developmental Neuroscience (Q3),"Biochemistry, Genetics and Molecular Biology; Neuroscience"
Current Plant Biology,5.4,Q1,Elsevier ,PLANT SCIENCES,4.7,CURR PLANT BIOL,journal,22146628,,27/265,Netherlands,Western Europe,2014-2023,Biochemistry (Q1); Plant Science (Q1); Cell Biology (Q2); Developmental Biology (Q2); Genetics (Q2),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Colloids and Surfaces B: Biointerfaces,5.4,Q2,Elsevier ,"MATERIALS SCIENCE, BIOMATERIALS",5.1,COLLOID SURFACE B,journal,9277765,18734367,15/53,Netherlands,Western Europe,1993-2023,Biotechnology (Q1); Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Surfaces and Interfaces (Q1); Colloid and Surface Chemistry (Q2),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Medicine; Physics and Astronomy"
Sensing and Bio-Sensing Research,5.4,Q1,Elsevier ,"CHEMISTRY, ANALYTICAL",5.1,SENS BIO-SENS RES,journal,22141804,,15/106,Netherlands,Western Europe,2014-2023,"Biotechnology (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Signal Processing (Q2)","Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Materials Science"
Current Allergy and Asthma Reports,5.4,Q1,Current Medicine Group,IMMUNOLOGY,5,CURR ALLERGY ASTHM R,journal,15297322,15346315,42/181,United States,Northern America,2001-2023,Pulmonary and Respiratory Medicine (Q1); Immunology (Q2); Immunology and Allergy (Q2),Immunology and Microbiology; Medicine
Expert Opinion on Therapeutic Patents,5.4,Q1,Taylor and Francis Ltd.,PHARMACOLOGY & PHARMACY,6.4,EXPERT OPIN THER PAT,journal,13543776,17447674,32/354,United Kingdom,Western Europe,1991-2023,Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Molecular Cancer Therapeutics,5.3,Q1,American Association for Cancer Research Inc.,ONCOLOGY,5.4,MOL CANCER THER,journal,15357163,15388514,61/322,United States,Northern America,2001-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
JCO Precision Oncology,5.3,Q1,Lippincott Williams and Wilkins,ONCOLOGY,5.1,JCO PRECIS ONCOL,journal,24734284,,61/322,United States,Northern America,2017-2022,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Physiology,5.3,Q1,American Physiological Society,PHYSIOLOGY,8.7,PHYSIOLOGY,journal,15489213,15489221,Jun-85,United States,Northern America,2004-2023,Physiology (Q1),"Biochemistry, Genetics and Molecular Biology"
Skeletal Muscle,5.3,Q2,BioMed Central Ltd,CELL BIOLOGY,5,SKELET MUSCLE,journal,20445040,,59/205,United Kingdom,Western Europe,2011-2023,Cell Biology (Q1); Molecular Biology (Q1); Orthopedics and Sports Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Cell Biology and Toxicology,5.3,Q1,Springer Nature,TOXICOLOGY,5.3,CELL BIOL TOXICOL,journal,15736822,7422091,13/106,Netherlands,Western Europe,1984-2023,"Cell Biology (Q1); Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)","Biochemistry, Genetics and Molecular Biology; Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
European Journal of Endocrinology,5.3,Q1,Oxford University Press,ENDOCRINOLOGY & METABOLISM,5.7,EUR J ENDOCRINOL,journal,1479683X,8044643,27/186,United Kingdom,Western Europe,1994-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Molecular Cell Biology,5.3,Q2,Oxford University Press,CELL BIOLOGY,6.1,J MOL CELL BIOL,journal,17594685,16742788,59/205,United States,Northern America,2009-2023,Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Cell Biology (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
Molecular Therapy - Oncolytics,5.3,Q1,Cell Press,ONCOLOGY,5.2,MOL THER ONCOLYTICS,journal,23727705,,61/322,United Kingdom,Western Europe,2014-2023,Molecular Medicine (Q1); Oncology (Q1); Pharmacology (medical) (Q1); Cancer Research (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
GeroScience,5.3,Q1,Springer Nature,GERIATRICS & GERONTOLOGY,6.2,GEROSCIENCE,journal,25092715,25092723,Sep-74,Switzerland,Western Europe,2017-2023,Aging (Q1); Cardiology and Cardiovascular Medicine (Q1); Complementary and Alternative Medicine (Q1); Geriatrics and Gerontology (Q1); Veterinary (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Veterinary"
Cancer Cell International,5.3,Q1,BioMed Central Ltd,ONCOLOGY,5,CANCER CELL INT,journal,14752867,,61/322,United Kingdom,Western Europe,2001-2023,Genetics (Q1); Oncology (Q1); Cancer Research (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
Mechanisms of Ageing and Development,5.3,Q1,Elsevier ,GERIATRICS & GERONTOLOGY,5.5,MECH AGEING DEV,journal,18726216,476374,Sep-74,Ireland,Western Europe,1972-2023,Aging (Q1); Developmental Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Biochemical Pharmacology,5.3,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,5.2,BIOCHEM PHARMACOL,journal,18732968,62952,34/354,United States,Northern America,1958-2023,Biochemistry (Q1); Pharmacology (Q1),"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
Progress in Neuro-Psychopharmacology and Biological Psychiatry,5.3,Q1,Elsevier ,PSYCHIATRY,4.9,PROG NEURO-PSYCHOPH,journal,18784216,2785846,28/276,United States,Northern America,1982-2024,Biological Psychiatry (Q1); Pharmacology (Q1),"Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
International Journal of Pharmaceutics,5.3,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,5.6,INT J PHARMACEUT,journal,18733476,3785173,34/354,Netherlands,Western Europe,1978-2023,Pharmaceutical Science (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Proceedings of the Combustion Institute,5.3,Q1,Elsevier ,THERMODYNAMICS,5.3,P COMBUST INST,journal,18732704,15407489,Nov-76,United Kingdom,Western Europe,"2000, 2002, 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023",Chemical Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Physical and Theoretical Chemistry (Q1),Chemical Engineering; Chemistry; Engineering
Journal of Molecular Liquids,5.3,Q1,Elsevier ,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",5.1,J MOL LIQ,journal,18733166,1677322,Jun-40,Netherlands,Western Europe,1983-2023,"Atomic and Molecular Physics, and Optics (Q1); Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1)",Chemistry; Materials Science; Physics and Astronomy
Chinese Medicine,5.3,Q1,BioMed Central Ltd,PHARMACOLOGY & PHARMACY,5.5,CHIN MED-UK,journal,17498546,,34/354,United Kingdom,Western Europe,2006-2023,Complementary and Alternative Medicine (Q1); Pharmacology (Q2),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Journal of Pharmaceutical Investigation,5.3,Q1,Springer Nature,PHARMACOLOGY & PHARMACY,,J PHARM INVEST,journal,20935552,20936214,34/354,Netherlands,Western Europe,2012-2023,"Pharmaceutical Science (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","Pharmacology, Toxicology and Pharmaceutics"
Communications Biology,5.2,Q1,Springer Nature,BIOLOGY,5.6,COMMUN BIOL,journal,23993642,,13/109,United States,Northern America,2018-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
Immunity and Ageing,5.2,Q1,BioMed Central Ltd,IMMUNOLOGY,6.4,IMMUN AGEING,journal,17424933,,45/181,United Kingdom,Western Europe,2004-2023,Aging (Q1); Immunology (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Journal of Applied Crystallography,5.2,Q1,International Union of Crystallography,CRYSTALLOGRAPHY,5,J APPL CRYSTALLOGR,journal,218898,16005767,Feb-33,United Kingdom,Western Europe,"1969-1971, 1983-2023","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology"
Life Sciences,5.2,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,5.3,LIFE SCI,journal,18790631,243205,40/354,United States,Northern America,1962-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Redox Report,5.2,Q1,Maney Publishing,BIOCHEMISTRY & MOLECULAR BIOLOGY,4.9,REDOX REP,journal,17432928,13510002,61/313,United Kingdom,Western Europe,"1996-1997, 1999-2023",Biochemistry (Q2); Biochemistry (medical) (Q2); Cell Biology (Q2); Clinical Biochemistry (Q2); Physiology (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
International Journal of Pharmaceutics: X,5.2,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,5.3,INT J PHARM-X,journal,25901567,,40/354,Netherlands,Western Europe,2019-2023,Pharmaceutical Science (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Chemical and Biological Technologies in Agriculture,5.2,Q1,Springer Nature,"AGRICULTURE, MULTIDISCIPLINARY",5.2,CHEM BIOL TECHNOL AG,journal,21965641,,Sep-89,Switzerland,Western Europe,2014-2023,Agronomy and Crop Science (Q1); Biotechnology (Q1); Food Science (Q1); Biochemistry (Q2),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Journal of NeuroImmune Pharmacology,5.2,Q1,Springer Nature,PHARMACOLOGY & PHARMACY,5.2,J NEUROIMMUNE PHARM,journal,15571890,15571904,40/354,United States,Northern America,2006-2023,Immunology (Q1); Immunology and Allergy (Q1); Neuroscience (miscellaneous) (Q1); Pharmacology (Q1),"Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
Vaccines,5.2,Q1,Multidisciplinary Digital Publishing Institute (MDPI),"MEDICINE, RESEARCH & EXPERIMENTAL",4.9,VACCINES-BASEL,journal,2076393X,,39/189,Switzerland,Western Europe,2013-2023,Drug Discovery (Q1); Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Immunology (Q2),"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Prostate Cancer and Prostatic Diseases,5.1,Q1,Nature Publishing Group,UROLOGY & NEPHROLOGY,4.8,PROSTATE CANCER P D,journal,13657852,14765608,12/126,United Kingdom,Western Europe,1997-2023,Cancer Research (Q1); Oncology (Q1); Urology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Tissue Engineering - Part B: Reviews,5.1,Q2,Mary Ann Liebert Inc.,"MATERIALS SCIENCE, BIOMATERIALS",8.9,TISSUE ENG PART B-RE,journal,19373368,19373376,17/53,United States,Northern America,2008-2023,Biochemistry (Q1); Bioengineering (Q1); Biomaterials (Q1); Biomedical Engineering (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
Laboratory Investigation,5.1,Q1,Elsevier ,PATHOLOGY,5.2,LAB INVEST,journal,15300307,236837,Sep-88,Netherlands,Western Europe,1952-2023,Pathology and Forensic Medicine (Q1); Cell Biology (Q2); Molecular Biology (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
mBio,5.1,Q1,American Society for Microbiology,MICROBIOLOGY,5.9,MBIO,journal,21612129,21507511,27/161,United States,Northern America,2010-2023,Microbiology (Q1); Virology (Q1),Immunology and Microbiology
RMD Open,5.1,Q1,BMJ Publishing Group,RHEUMATOLOGY,5,RMD OPEN,journal,20565933,,Aug-57,United Kingdom,Western Europe,2015-2023,Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1),Immunology and Microbiology; Medicine
Biology and Fertility of Soils,5.1,Q1,Springer Nature,SOIL SCIENCE,6.2,BIOL FERT SOILS,journal,14320789,1782762,Sep-49,Germany,Western Europe,1985-2023,Agronomy and Crop Science (Q1); Microbiology (Q1); Soil Science (Q1),Agricultural and Biological Sciences; Immunology and Microbiology
Phycological Research,1.6,Q2,Wiley,MARINE & FRESHWATER BIOLOGY,1.4,PHYCOL RES,journal,13220829,14401835,56/119,United States,Northern America,"1995, 1997-2023","Agricultural and Biological Sciences (miscellaneous) (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2); Aquatic Science (Q3); Physiology (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Journal of Clinical Endocrinology and Metabolism,5,Q1,Endocrine Society,ENDOCRINOLOGY & METABOLISM,5.3,J CLIN ENDOCR METAB,journal,0021972X,19457197,30/186,United States,Northern America,1944-2023,"Biochemistry (Q1); Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Inflammation and Regeneration,5,Q1,BioMed Central Ltd,"MEDICINE, RESEARCH & EXPERIMENTAL",7.2,INFLAMM REGEN,journal,18809693,18808190,44/189,United Kingdom,Western Europe,2016-2023,Cell Biology (Q1); Immunology (Q1); Immunology and Allergy (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
American Journal of Physiology - Cell Physiology,5,Q1,American Physiological Society,PHYSIOLOGY,5.2,AM J PHYSIOL-CELL PH,journal,15221563,3636143,Aug-85,United States,Northern America,1977-2023,Cell Biology (Q1); Physiology (Q1),"Biochemistry, Genetics and Molecular Biology"
mSystems,5,Q1,American Society for Microbiology,MICROBIOLOGY,6.1,MSYSTEMS,journal,23795077,,29/161,United States,Northern America,2016-2023,"Biochemistry (Q1); Computer Science Applications (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Microbiology (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1); Physiology (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics"
Genes and Immunity,5,Q2,Nature Publishing Group,IMMUNOLOGY,3.8,GENES IMMUN,journal,14664879,14765470,47/181,United Kingdom,Western Europe,"1999-2017, 2019-2023",Genetics (Q1); Genetics (clinical) (Q1); Immunology (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Journal of Surfactants and Detergents,1.6,Q3,Wiley,"ENGINEERING, CHEMICAL",1.7,J SURFACTANTS DETERG,journal,15589293,10973958,113/170,Germany,Western Europe,1998-2023,"Chemical Engineering (miscellaneous) (Q3); Physical and Theoretical Chemistry (Q3); Surfaces, Coatings and Films (Q3)",Chemical Engineering; Chemistry; Materials Science
Journal of Lipid Research,5,Q1,Elsevier ,BIOCHEMISTRY & MOLECULAR BIOLOGY,5.7,J LIPID RES,journal,15397262,222275,64/313,United States,Northern America,"1960-1961, 1963-2023",Biochemistry (Q1); Cell Biology (Q1); Endocrinology (Q1),"Biochemistry, Genetics and Molecular Biology"
International Journal of Food Microbiology,5,Q1,Elsevier ,MICROBIOLOGY,5,INT J FOOD MICROBIOL,journal,18793460,1681605,29/161,Netherlands,Western Europe,1984-2024,"Food Science (Q1); Medicine (miscellaneous) (Q1); Safety, Risk, Reliability and Quality (Q1); Microbiology (Q2)",Agricultural and Biological Sciences; Engineering; Immunology and Microbiology; Medicine
Expert Opinion on Drug Delivery,5,Q1,Taylor and Francis Ltd.,PHARMACOLOGY & PHARMACY,7.2,EXPERT OPIN DRUG DEL,journal,17425247,,43/354,United Kingdom,Western Europe,2004-2023,Pharmaceutical Science (Q1),"Pharmacology, Toxicology and Pharmaceutics"
AAPS Journal,5,Q1,Springer Nature,PHARMACOLOGY & PHARMACY,4.1,AAPS J,journal,15507416,,43/354,United States,Northern America,1999-2023,Pharmaceutical Science (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Biology of Sex Differences,4.9,Q1,BioMed Central Ltd,GENETICS & HEREDITY,6,BIOL SEX DIFFER,journal,20426410,,27/191,United Kingdom,Western Europe,2010-2023,Endocrinology (Q1); Gender Studies (Q1),"Biochemistry, Genetics and Molecular Biology; Social Sciences"
Journal of Molecular and Cellular Cardiology,4.9,Q2,Academic Press,CELL BIOLOGY,4.7,J MOL CELL CARDIOL,journal,222828,10958584,67/205,United States,Northern America,1970-2023,Cardiology and Cardiovascular Medicine (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Cellular oncology (Dordrecht),4.9,Q1,Springer Nature,PATHOLOGY,5.2,CELL ONCOL,journal,22113436,22113428,Nov-88,Netherlands,Western Europe,2011-2023,Medicine (miscellaneous) (Q1); Molecular Medicine (Q1); Oncology (Q1); Cancer Research (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
Organic Letters,4.9,Q1,American Chemical Society,"CHEMISTRY, ORGANIC",4.5,ORG LETT,journal,15237052,15237060,Apr-58,United States,Northern America,1999-2023,Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemistry"
International Journal of Molecular Sciences,4.9,Q2,Multidisciplinary Digital Publishing Institute (MDPI),"CHEMISTRY, MULTIDISCIPLINARY",5.6,INT J MOL SCI,journal,14220067,16616596,67/230,Switzerland,Western Europe,2000-2023,Computer Science Applications (Q1); Inorganic Chemistry (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1); Catalysis (Q2); Molecular Biology (Q2),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine"
Colloids and Surfaces A: Physicochemical and Engineering Aspects,4.9,Q2,Elsevier ,"CHEMISTRY, PHYSICAL",4.7,COLLOID SURFACE A,journal,18734359,9277757,62/178,Netherlands,Western Europe,1993-2023,Physical and Theoretical Chemistry (Q1); Surfaces and Interfaces (Q1); Colloid and Surface Chemistry (Q2),Chemical Engineering; Chemistry; Physics and Astronomy
Journal of Bionic Engineering,4.9,Q1,Science China Press,ROBOTICS,4.1,J BIONIC ENG,journal,16726529,,Nov-46,China,Asiatic Region,"2004, 2006-2023",Bioengineering (Q2); Biophysics (Q2); Biotechnology (Q2),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
Biosensors,4.9,Q2,Multidisciplinary Digital Publishing Institute (MDPI),NANOSCIENCE & NANOTECHNOLOGY,5.2,BIOSENSORS-BASEL,journal,20796374,,50/140,Switzerland,Western Europe,2011-2023,Instrumentation (Q1); Analytical Chemistry (Q2); Biomedical Engineering (Q2); Biotechnology (Q2); Clinical Biochemistry (Q2); Medicine (miscellaneous) (Q2),"Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering; Medicine; Physics and Astronomy"
Molecular genetics &amp; genomic medicine,1.5,Q4,Wiley,GENETICS & HEREDITY,2,MOL GENET GENOM MED,journal,23249269,,147/191,United States,Northern America,2013-2023,Genetics (Q3); Genetics (clinical) (Q3); Molecular Biology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
Pathogens and Global Health,4.9,Q1,Maney Publishing,TROPICAL MEDICINE,4.4,PATHOG GLOB HEALTH,journal,20477724,20477732,28-01-2024 00:00,United Kingdom,Western Europe,2012-2023,"Infectious Diseases (Q2); Medicine (miscellaneous) (Q2); Microbiology (Q2); Parasitology (Q2); Public Health, Environmental and Occupational Health (Q2)",Immunology and Microbiology; Medicine
Expert Opinion on Investigational Drugs,4.9,Q1,Taylor and Francis Ltd.,PHARMACOLOGY & PHARMACY,5.3,EXPERT OPIN INV DRUG,journal,13543784,17447658,45/354,United Kingdom,Western Europe,1994-2023,Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
ACS Pharmacology and Translational Science,4.9,Q1,American Chemical Society,PHARMACOLOGY & PHARMACY,4.9,ACS PHARMACOL TRANSL,journal,25759108,,45/354,United States,Northern America,2018-2023,Pharmacology (Q1); Pharmacology (medical) (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Pharmaceutics,4.9,Q1,Multidisciplinary Digital Publishing Institute (MDPI),PHARMACOLOGY & PHARMACY,5.5,PHARMACEUTICS,journal,19994923,,45/354,Switzerland,Western Europe,2009-2023,Pharmaceutical Science (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Marine Drugs,4.9,Q1,Multidisciplinary Digital Publishing Institute (MDPI),PHARMACOLOGY & PHARMACY,5.2,MAR DRUGS,journal,16603397,,45/354,Switzerland,Western Europe,2003-2023,"Drug Discovery (Q1); Pharmaceutical Science (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","Pharmacology, Toxicology and Pharmaceutics"
"Nanotechnology, Science and Applications",4.9,Q2,Dove Medical Press Limited,NANOSCIENCE & NANOTECHNOLOGY,5.4,NANOTECHNOL SCI APPL,journal,11778903,,50/140,New Zealand,Pacific Region,"2010-2012, 2014-2023",Pharmaceutical Science (Q1); Bioengineering (Q2); Biomedical Engineering (Q2); Nanoscience and Nanotechnology (Q2),"Chemical Engineering; Engineering; Materials Science; Pharmacology, Toxicology and Pharmaceutics"
Oncologist,4.8,Q1,Oxford University Press,ONCOLOGY,5.3,ONCOLOGIST,journal,1549490X,10837159,70/322,United States,Northern America,1996-2023,Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Clinical Epigenetics,4.8,Q1,BioMed Central Ltd,ONCOLOGY,5.8,CLIN EPIGENETICS,journal,18687083,18687075,70/322,United Kingdom,Western Europe,2010-2023,Developmental Biology (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Peptide Science,1.5,Q4,Wiley,BIOPHYSICS,2.2,PEPTIDE SCI,journal,24758817,,64/77,United Kingdom,Western Europe,2018-2023,Biophysics (Q2); Organic Chemistry (Q2); Biochemistry (Q3); Biomaterials (Q3),"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
Cancer Gene Therapy,4.8,Q1,Nature Publishing Group,ONCOLOGY,4.9,CANCER GENE THER,journal,14765500,9291903,70/322,United Kingdom,Western Europe,1994-2023,Molecular Biology (Q1); Molecular Medicine (Q1); Cancer Research (Q2),"Biochemistry, Genetics and Molecular Biology"
Endocrinology and Metabolism Clinics of North America,4.8,Q1,W.B. Saunders,ENDOCRINOLOGY & METABOLISM,5.3,ENDOCRIN METAB CLIN,journal,8898529,15584410,34/186,United States,Northern America,1987-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Molecular Medicine,4.8,Q1,Springer Nature,"MEDICINE, RESEARCH & EXPERIMENTAL",4.7,J MOL MED,journal,9462716,14321440,45/189,Germany,Western Europe,"1976-1978, 1980-1981, 1995-2023",Drug Discovery (Q1); Genetics (clinical) (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Journal of Morphology,1.5,Q2,Wiley,ANATOMY & MORPHOLOGY,1.7,J MORPHOL,journal,3622525,10974687,22-11-2024 00:00,United States,Northern America,"1887-1901, 1903, 1908-2023",Animal Science and Zoology (Q2); Developmental Biology (Q3),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Biomolecules,4.8,Q1,Multidisciplinary Digital Publishing Institute (MDPI),BIOCHEMISTRY & MOLECULAR BIOLOGY,5.4,BIOMOLECULES,journal,2218273X,,67/313,Switzerland,Western Europe,2011-2023,Biochemistry (Q1); Molecular Biology (Q2),"Biochemistry, Genetics and Molecular Biology"
Journal of Nutritional Biochemistry,4.8,Q1,Elsevier ,NUTRITION & DIETETICS,5.4,J NUTR BIOCHEM,journal,9552863,18734847,18/114,United States,Northern America,1990-2023,"Biochemistry (Q1); Clinical Biochemistry (Q1); Endocrinology, Diabetes and Metabolism (Q1); Nutrition and Dietetics (Q1); Molecular Biology (Q2)","Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
Food Bioscience,4.8,Q1,Elsevier ,FOOD SCIENCE & TECHNOLOGY,5.1,FOOD BIOSCI,journal,22124306,22124292,36/173,United Kingdom,Western Europe,2013-2023,Food Science (Q1); Biochemistry (Q2),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Bioelectrochemistry,4.8,Q2,Elsevier ,ELECTROCHEMISTRY,4.5,BIOELECTROCHEMISTRY,journal,15675394,1878562X,14/45,Netherlands,Western Europe,2000-2024,Biophysics (Q2); Electrochemistry (Q2); Medicine (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2),"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
International Immunopharmacology,4.8,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,5,INT IMMUNOPHARMACOL,journal,18781705,15675769,50/354,Netherlands,Western Europe,2001-2023,Pharmacology (Q1); Immunology (Q2); Immunology and Allergy (Q2),"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Toxicology,4.8,Q1,Elsevier ,TOXICOLOGY,4.4,TOXICOLOGY,journal,0300483X,18793185,14/106,Ireland,Western Europe,"1959, 1973-2023",Toxicology (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Journal of Ethnopharmacology,4.8,Q1,Elsevier ,PLANT SCIENCES,4.8,J ETHNOPHARMACOL,journal,3788741,18727573,31/265,Ireland,Western Europe,1979-2024,Drug Discovery (Q1); Pharmacology (Q1),"Pharmacology, Toxicology and Pharmaceutics"
